"Velocity_average:0","Velocity_average:1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.057829,0.037197,1,0.222,-0.48,0.722,0
0.05785,0.03715,1,0.2225,-0.48,0.7225,0
0.05787,0.037103,1,0.223,-0.48,0.723,0
0.057891,0.037056,1,0.2235,-0.48,0.7235,0
0.057911,0.037009,1,0.224,-0.48,0.724,0
0.057932,0.036961,1,0.2245,-0.48,0.7245,0
0.057953,0.036914,1,0.225,-0.48,0.725,0
0.057973,0.036867,1,0.2255,-0.48,0.7255,0
0.057994,0.03682,1,0.226,-0.48,0.726,0
0.058015,0.036773,1,0.2265,-0.48,0.7265,0
0.058035,0.036726,1,0.227,-0.48,0.727,0
0.058053,0.036678,1,0.2275,-0.48,0.7275,0
0.058069,0.036631,1,0.228,-0.48,0.728,0
0.058083,0.036585,1,0.2285,-0.48,0.7285,0
0.058097,0.036539,1,0.229,-0.48,0.729,0
0.058111,0.036494,1,0.2295,-0.48,0.7295,0
0.058125,0.036448,1,0.23,-0.48,0.73,0
0.05814,0.036402,1,0.2305,-0.48,0.7305,0
0.058154,0.036356,1,0.231,-0.48,0.731,0
0.058168,0.036311,1,0.2315,-0.48,0.7315,0
0.058182,0.036265,1,0.232,-0.48,0.732,0
0.058196,0.036219,1,0.2325,-0.48,0.7325,0
0.05821,0.036174,1,0.233,-0.48,0.733,0
0.058224,0.036128,1,0.2335,-0.48,0.7335,0
0.058238,0.036082,1,0.234,-0.48,0.734,0
0.058252,0.036037,1,0.2345,-0.48,0.7345,0
0.058266,0.035991,1,0.235,-0.48,0.735,0
0.05828,0.035945,1,0.2355,-0.48,0.7355,0
0.058294,0.0359,1,0.236,-0.48,0.736,0
0.058307,0.035854,1,0.2365,-0.48,0.7365,0
0.058316,0.035809,1,0.237,-0.48,0.737,0
0.058325,0.035764,1,0.2375,-0.48,0.7375,0
0.058333,0.03572,1,0.238,-0.48,0.738,0
0.05834,0.035676,1,0.2385,-0.48,0.7385,0
0.058347,0.035632,1,0.239,-0.48,0.739,0
0.058355,0.035588,1,0.2395,-0.48,0.7395,0
0.058362,0.035543,1,0.24,-0.48,0.74,0
0.05837,0.035499,1,0.2405,-0.48,0.7405,0
0.058377,0.035455,1,0.241,-0.48,0.741,0
0.058385,0.035411,1,0.2415,-0.48,0.7415,0
0.058392,0.035367,1,0.242,-0.48,0.742,0
0.0584,0.035322,1,0.2425,-0.48,0.7425,0
