Velocity:0,Velocity:1,Points:0,Points:1,Points:2,
-0.0121495,-0.95032698,0.039269902,1.8849601,0,0
-0.0136071,-0.937482,0.039269902,1.92423,0,0
-0.0150472,-0.923163,0.039269902,1.9635,0,0
-0.0164639,-0.90741098,0.039269902,2.0027699,0,0
-0.017852001,-0.89030099,0.039269902,2.0420401,0,0
-0.0192116,-0.87183303,0.039269902,2.08131,0,0
-0.020542599,-0.85200799,0.039269902,2.12058,0,0
-0.0218451,-0.83082402,0.039269902,2.1598401,0,0
-0.0231137,-0.80835199,0.039269902,2.19911,0,0
-0.0243438,-0.784688,0.039269902,2.23838,0,0
-0.0255355,-0.759835,0.039269902,2.2776501,0,0
-0.026688701,-0.73379201,0.039269902,2.31692,0,0
-0.027803499,-0.70655799,0.039269902,2.35619,0,0
-0.0288752,-0.67822802,0.039269902,2.3954599,0,0
-0.029899999,-0.64892101,0.039269902,2.4347301,0,0
-0.030878,-0.61863703,0.039269902,2.474,0,0
-0.0318092,-0.587376,0.039269902,2.5132699,0,0
-0.032693502,-0.55513901,0.039269902,2.5525401,0,0
-0.033527099,-0.52204001,0.039269902,2.59181,0,0
-0.0343072,-0.488215,0.039269902,2.6310799,0,0
-0.0350339,-0.45366499,0.039269902,2.6703501,0,0
-0.035707202,-0.41838899,0.039269902,2.70962,0,0
-0.036327101,-0.382386,0.039269902,2.7488899,0,0
-0.036890499,-0.34579101,0.039269902,2.7881601,0,0
-0.037395999,-0.30874801,0.039269902,2.82743,0,0
-0.037843499,-0.27125901,0.039269902,2.8666999,0,0
-0.038233101,-0.23332199,0.039269902,2.9059701,0,0
-0.0385646,-0.194939,0.039269902,2.94524,0,0
-0.0388363,-0.156253,0.039269902,2.9845099,0,0
-0.039047699,-0.117416,0.039269902,3.0237801,0,0
-0.039198801,-0.078428298,0.039269902,3.06305,0,0
-0.039289601,-0.039289601,0.039269902,3.10232,0,0
-0.0393201,2.06662E-13,0.039269902,3.1415901,0,0
-0.039289601,0.039289601,0.039269902,3.18086,0,0
-0.039198801,0.078428298,0.039269902,3.22013,0,0
-0.039047699,0.117416,0.039269902,3.2593999,0,0
-0.0388363,0.156253,0.039269902,3.2986701,0,0
-0.0385646,0.194939,0.039269902,3.33794,0,0
-0.038233101,0.23332199,0.039269902,3.3772099,0,0
-0.037843499,0.27125901,0.039269902,3.4164801,0,0
-0.037395999,0.30874801,0.039269902,3.45575,0,0
-0.036890499,0.34579101,0.039269902,3.4950199,0,0
-0.036327101,0.382386,0.039269902,3.5342901,0,0
-0.035707202,0.41838899,0.039269902,3.57356,0,0
-0.0350339,0.45366499,0.039269902,3.6128299,0,0
-0.0343072,0.488215,0.039269902,3.6521001,0,0
-0.033527099,0.52204001,0.039269902,3.69137,0,0
-0.032693502,0.55513901,0.039269902,3.7306399,0,0
-0.0318092,0.587376,0.039269902,3.7699101,0,0
-0.030878,0.61863703,0.039269902,3.80918,0,0
-0.029899999,0.64892101,0.039269902,3.8484499,0,0
-0.0288752,0.67822802,0.039269902,3.8877201,0,0
-0.027803499,0.70655799,0.039269902,3.92699,0,0
-0.026688701,0.73379201,0.039269902,3.96626,0,0
-0.0255355,0.759835,0.039269902,4.0055299,0,0
-0.0243438,0.784688,0.039269902,4.0447998,0,0
-0.0231137,0.80835199,0.039269902,4.0840702,0,0
-0.0218451,0.83082402,0.039269902,4.1233401,0,0
-0.020542599,0.85200799,0.039269902,4.1626101,0,0
-0.0192116,0.87183303,0.039269902,4.20188,0,0
-0.017852001,0.89030099,0.039269902,4.2411499,0,0
-0.0164639,0.90741098,0.039269902,4.2804198,0,0
-0.0150472,0.923163,0.039269902,4.3196902,0,0
-0.0136071,0.937482,0.039269902,4.3589602,0,0
-0.0121495,0.95032698,0.039269902,4.3982301,0,0
-0.0106742,0.96170002,0.039269902,4.4375,0,0
-0.0091813896,0.97159898,0.039269902,4.4767699,0,0
-0.0076709799,0.98002398,0.039269902,4.5160398,0,0
-0.0061486601,0.986929,0.039269902,4.5553098,0,0
-0.0046203998,0.99230099,0.039269902,4.5945802,0,0
-0.00308621,0.99614102,0.039269902,4.6338501,0,0
-0.00154607,0.99844903,0.039269902,4.67312,0,0
1.22159E-14,0.99922401,0.039269902,4.7123899,0,0
0.00154607,0.99844903,0.039269902,4.7516599,0,0
0.00308621,0.99614102,0.039269902,4.7909298,0,0
0.0046203998,0.99230099,0.039269902,4.8302002,0,0
0.0061486601,0.986929,0.039269902,4.8694701,0,0
0.0076709799,0.98002398,0.039269902,4.90874,0,0
0.0091813896,0.97159898,0.039269902,4.94801,0,0
0.0106742,0.96170002,0.039269902,4.9872799,0,0
0.0121495,0.95032698,0.039269902,5.0265498,0,0
0.0136071,0.937482,0.039269902,5.0658202,0,0
0.0150472,0.923163,0.039269902,5.1050901,0,0
0.0164639,0.90741098,0.039269902,5.1443601,0,0
0.017852001,0.89030099,0.039269902,5.18363,0,0
0.0192116,0.87183303,0.039269902,5.2228999,0,0
0.020542599,0.85200799,0.039269902,5.2621698,0,0
0.0218451,0.83082402,0.039269902,5.3014398,0,0
0.0231137,0.80835199,0.039269902,5.3407102,0,0
0.0243438,0.784688,0.039269902,5.3799801,0,0
0.0255355,0.759835,0.039269902,5.41925,0,0
0.026688701,0.73379201,0.039269902,5.4585199,0,0
0.027803499,0.70655799,0.039269902,5.4977899,0,0
0.0288752,0.67822802,0.039269902,5.5370598,0,0
0.029899999,0.64892101,0.039269902,5.5763302,0,0
0.030878,0.61863703,0.039269902,5.6156001,0,0
0.0318092,0.587376,0.039269902,5.65487,0,0
0.032693502,0.55513901,0.039269902,5.69414,0,0
0.033527099,0.52204001,0.039269902,5.7334099,0,0
0.0343072,0.488215,0.039269902,5.7726798,0,0
0.0350339,0.45366499,0.039269902,5.8119502,0,0
0.035707202,0.41838899,0.039269902,5.8512201,0,0
0.036327101,0.382386,0.039269902,5.8904901,0,0
0.036890499,0.34579101,0.039269902,5.92976,0,0
0.037395999,0.30874801,0.039269902,5.9690299,0,0
0.037843499,0.27125901,0.039269902,6.0082998,0,0
0.038233101,0.23332199,0.039269902,6.0475702,0,0
0.0385646,0.194939,0.039269902,6.0868402,0,0
0.0388363,0.156253,0.039269902,6.1261101,0,0
0.039047699,0.117416,0.039269902,6.16538,0,0
0.039198801,0.078428298,0.039269902,6.2046499,0,0
0.039289601,0.039289601,0.039269902,6.2439198,0,0
0.0393201,-4.1332701E-13,0.039269902,6.2831898,0,0.039269902
0.078489199,9.9498899E-19,0.078539804,-9.9967403E-19,0,0
0.078428298,-0.039198801,0.078539804,0.039269902,0,0
0.0782471,-0.0782471,0.078539804,0.078539804,0,0
0.077945396,-0.117145,0.078539804,0.11781,0,0
0.077523403,-0.155892,0.078539804,0.15707999,0,0
0.076981097,-0.194488,0.078539804,0.19634999,0,0
0.0763193,-0.232783,0.078539804,0.23561899,0,0
0.075541697,-0.270632,0.078539804,0.27488899,0,0
0.074648403,-0.30803499,0.078539804,0.31415901,0,0
0.0736394,-0.34499201,0.078539804,0.35342899,0,0
0.072514601,-0.38150299,0.078539804,0.392699,0,0
0.071277298,-0.417422,0.078539804,0.43196899,0,0
0.069933303,-0.45261601,0.078539804,0.471239,0,0
0.068482697,-0.48708701,0.078539804,0.51050901,0,0
0.066925399,-0.52083403,0.078539804,0.549779,0,0
0.065261401,-0.55385602,0.078539804,0.58904898,0,0
0.063496202,-0.58601898,0.078539804,0.62831903,0,0
0.061637402,-0.61720699,0.078539804,0.667588,0,0
0.0596852,-0.647421,0.078539804,0.70685798,0,0
0.057639498,-0.67666,0.078539804,0.74612802,0,0
0.055500299,-0.704925,0.078539804,0.78539801,0,0
0.0532749,-0.73209602,0.078539804,0.82466799,0,0
0.050972801,-0.75807899,0.078539804,0.86393797,0,0
0.048594099,-0.782875,0.078539804,0.90320802,0,0
0.046138499,-0.80648297,0.078539804,0.942478,0,0
0.0436063,-0.82890397,0.078539804,0.98174798,0,0
0.041006401,-0.85003901,0.078539804,1.0210201,0,0
0.038349401,-0.86981797,0.078539804,1.06029,0,0
0.035635501,-0.88824302,0.078539804,1.09956,0,0
0.0328645,-0.90531301,0.078539804,1.1388299,0,0
0.0300365,-0.92102897,0.078539804,1.1781,0,0
0.0271619,-0.93531501,0.078539804,1.21737,0,0
0.0242522,-0.94813102,0.078539804,1.25664,0,0
0.021307399,-0.95947701,0.078539804,1.29591,0,0
0.018327501,-0.96935302,0.078539804,1.33518,0,0
0.0153125,-0.977759,0.078539804,1.37445,0,0
0.0122737,-0.98464799,0.078539804,1.41372,0,0
0.0092230598,-0.99000698,0.078539804,1.4529901,0,0
0.0061605601,-0.99383903,0.078539804,1.49226,0,0
0.00308621,-0.99614102,0.078539804,1.53153,0,0
-8.1166102E-15,-0.99691498,0.078539804,1.5707999,0,0
-0.00308621,-0.99614102,0.078539804,1.61007,0,0
-0.0061605601,-0.99383903,0.078539804,1.64934,0,0
-0.0092230598,-0.99000698,0.078539804,1.68861,0,0
-0.0122737,-0.98464799,0.078539804,1.72788,0,0
-0.0153125,-0.977759,0.078539804,1.76715,0,0
-0.018327501,-0.96935302,0.078539804,1.80642,0,0
-0.021307399,-0.95947701,0.078539804,1.84569,0,0
-0.0242522,-0.94813102,0.078539804,1.8849601,0,0
-0.0271619,-0.93531501,0.078539804,1.92423,0,0
-0.0300365,-0.92102897,0.078539804,1.9635,0,0
